german,article,plural,english,vietnamese,example,note
helfen,,,to help,giúp đỡ,Ich helfe meiner Mutter.,02_family
kennen,,,to know (a person),quen biết,Ich kenne diese Familie gut.,02_family
mögen,,,to like,thích,Ich mag meine Schwester.,02_family
treffen,,,to meet,gặp,Ich treffe meinen Freund.,02_family
nett,,,nice / kind,tốt bụng,Mein Nachbar ist nett.,02_family
klein,,,small / little,nhỏ,Das Kind ist noch klein.,02_family
groß,,,big / tall,to lớn / cao,Meine Familie ist groß.,02_family
glücklich,,,happy,hạnh phúc,Wir sind sehr glücklich.,02_family
zusammen,,,together,cùng nhau,Wir wohnen zusammen.,02_family
Cousin,der,die Cousins,cousin (male),anh em họ (nam),Mein Cousin wohnt in München.,02_family
Cousine,die,die Cousinen,cousin (female),chị em họ (nữ),Meine Cousine studiert Medizin.,02_family
Ehemann,der,die Ehemänner,husband,chồng,Ihr Ehemann arbeitet in Berlin.,02_family
Ehefrau,die,die Ehefrauen,wife,vợ,Seine Ehefrau ist Ärztin.,02_family
jemand,,,someone,ai đó,Jemand klopft an der Tür.,02_family
niemand,,,no one,không ai,Niemand ist zu Hause.,02_family
null,,,zero,số không,Null ist eine Zahl.,03_time
eins,,,one,một,Ich habe eins.,03_time
zwei,,,two,hai,Ich habe zwei Brüder.,03_time
drei,,,three,ba,Wir sind drei Personen.,03_time
vier,,,four,bốn,Das Zimmer hat vier Wände.,03_time
fünf,,,five,năm,Ich habe fünf Bücher.,03_time
sechs,,,six,sáu,Der Kurs dauert sechs Wochen.,03_time
sieben,,,seven,bảy,Eine Woche hat sieben Tage.,03_time
acht,,,eight,tám,Ich stehe um acht Uhr auf.,03_time
neun,,,nine,chín,Der Film beginnt um neun Uhr.,03_time
zehn,,,ten,mười,Ich zähle bis zehn.,03_time
elf,,,eleven,mười một,Die Pause dauert elf Minuten.,03_time
zwanzig,,,twenty,hai mươi,Ich bin zwanzig Jahre alt.,03_time
dreißig,,,thirty,ba mươi,Er ist dreißig Jahre alt.,03_time
vierzig,,,forty,bốn mươi,Sie arbeitet vierzig Stunden.,03_time
fünfzig,,,fifty,năm mươi,Das Zimmer kostet fünfzig Euro.,03_time
sechzig,,,sixty,sáu mươi,Eine Stunde hat sechzig Minuten.,03_time
siebzig,,,seventy,bảy mươi,Meine Oma ist siebzig Jahre alt.,03_time
Tag,der,die Tage,day,ngày,Ich lerne jeden Tag Deutsch.,03_time
Montag,der,die Montage,Monday,thứ hai,Am Montag beginnt die Arbeit.,03_time
Dienstag,der,die Dienstage,Tuesday,thứ ba,Am Dienstag habe ich Deutschkurs.,03_time
Mittwoch,der,die Mittwoche,Wednesday,thứ tư,Am Mittwoch treffe ich meine Freundin.,03_time
Donnerstag,der,die Donnerstage,Thursday,thứ năm,Am Donnerstag arbeite ich lange.,03_time
Freitag,der,die Freitage,Friday,thứ sáu,Am Freitag gehe ich einkaufen.,03_time
Samstag,der,die Samstage,Saturday,thứ bảy,Am Samstag bleibe ich zu Hause.,03_time
Sonntag,der,die Sonntage,Sunday,chủ nhật,Am Sonntag besuche ich meine Familie.,03_time
Januar,der,die Januare,January,tháng một,Der Januar ist sehr kalt.,03_time
Februar,der,die Februare,February,tháng hai,Im Februar schneit es oft.,03_time
März,der,die Märze,March,tháng ba,Im März beginnt der Frühling.,03_time
April,der,die Aprile,April,tháng tư,Im April regnet es viel.,03_time
Mai,der,die Maie,May,tháng năm,Im Mai blühen die Blumen.,03_time
Juni,der,die Junis,June,tháng sáu,Im Juni beginnt der Sommer.,03_time
Juli,der,die Julis,July,tháng bảy,Im Juli ist es sehr warm.,03_time
August,der,die Auguste,August,tháng tám,Im August fahren wir in Urlaub.,03_time
September,der,die September,September,tháng chín,Im September beginnt die Schule.,03_time
Oktober,der,die Oktober,October,tháng mười,Im Oktober werden die Blätter bunt.,03_time
November,der,die November,November,tháng mười một,Im November ist es oft neblig.,03_time
Dezember,der,die Dezember,December,tháng mười hai,Im Dezember feiern wir Weihnachten.,03_time
Frühling,der,die Frühlinge,spring,mùa xuân,Ich mag den Frühling.,03_time
Sommer,der,die Sommer,summer,mùa hè,Der Sommer ist warm.,03_time
Herbst,der,die Herbste,autumn,mùa thu,Der Herbst ist bunt.,03_time
Winter,der,die Winter,winter,mùa đông,Der Winter ist kalt.,03_time
Uhr,die,die Uhren,clock / o'clock,đồng hồ / giờ,Es ist neun Uhr.,03_time
Zeit,die,die Zeiten,time,thời gian,Ich habe keine Zeit.,03_time
Woche,die,die Wochen,week,tuần,Die Woche hat sieben Tage.,03_time
Monat,der,die Monate,month,tháng,Der Monat hat vier Wochen.,03_time
Jahr,das,die Jahre,year,năm,Das Jahr hat zwölf Monate.,03_time
immer,,,always,luôn luôn,Ich bin immer pünktlich.,03_time
oft,,,often,thường xuyên,Ich koche oft zu Hause.,03_time
Haus,das,die Häuser,house,ngôi nhà,Das Haus ist neu.,04_home
Wohnung,die,die Wohnungen,apartment,căn hộ,Die Wohnung ist klein.,04_home
Zimmer,das,die Zimmer,room,phòng,Das Zimmer ist hell.,04_home
Küche,die,die Küchen,kitchen,nhà bếp,Die Küche ist sauber.,04_home
Bad,das,die Bäder,bathroom,phòng tắm,Das Bad ist modern.,04_home
Schlafzimmer,das,die Schlafzimmer,bedroom,phòng ngủ,Mein Schlafzimmer ist ruhig.,04_home
Wohnzimmer,das,die Wohnzimmer,living room,phòng khách,Das Wohnzimmer ist gemütlich.,04_home
Balkon,der,die Balkone,balcony,ban công,Der Balkon ist klein.,04_home
Garten,der,die Gärten,garden,khu vườn,Der Garten ist grün.,04_home
Tisch,der,die Tische,table,cái bàn,Der Tisch ist groß.,04_home
Stuhl,der,die Stühle,chair,cái ghế,Der Stuhl ist bequem.,04_home
Bett,das,die Betten,bed,cái giường,Das Bett ist bequem.,04_home
Schrank,der,die Schränke,closet / cupboard,tủ,Der Schrank ist voll.,04_home
Lampe,die,die Lampen,lamp,cái đèn,Die Lampe ist hell.,04_home
Fenster,das,die Fenster,window,cửa sổ,Das Fenster ist offen.,04_home
Tür,die,die Türen,door,cửa ra vào,Die Tür ist zu.,04_home
Miete,die,die Mieten,rent,tiền thuê nhà,Die Miete ist hoch.,04_home
Straße,die,die Straßen,street,con đường,Die Straße ist lang.,04_home
Stadt,die,die Städte,city,thành phố,Die Stadt ist schön.,04_home
Sofa,das,die Sofas,sofa,ghế sofa,Das Sofa ist neu.,04_home
Spiegel,der,die Spiegel,mirror,cái gương,Der Spiegel ist groß.,04_home
Teppich,der,die Teppiche,carpet,thảm,Der Teppich ist bunt.,04_home
Nummer,die,die Nummern,house number,con số,Die Nummer ist zehn.,04_home
Schlüssel,der,die Schlüssel,key,chìa khóa,Der Schlüssel ist weg.,04_home
mieten,,,to rent,thuê,Wir mieten eine Wohnung.,04_home
kochen,,,to cook,nấu ăn,Ich koche in der Küche.,04_home
putzen,,,to clean,dọn dẹp,Ich putze das Zimmer.,04_home
öffnen,,,to open,mở,Ich öffne das Fenster.,04_home
schließen,,,to close,đóng,Bitte schließe die Tür.,04_home
kaufen,,,to buy,mua,Wir kaufen ein Sofa.,04_home
suchen,,,to search / look for,tìm kiếm,Ich suche eine Wohnung.,04_home
umziehen,,,to move house,chuyển nhà,Wir ziehen um.,04_home
liegen,,,to lie / be located,nằm ở,Das Haus liegt in der Stadt.,04_home
stehen,,,to stand,đứng / đặt,Der Tisch steht im Zimmer.,04_home
neu,,,new,mới,Das Sofa ist neu.,04_home
hell,,,bright,sáng,Das Zimmer ist hell.,04_home
dunkel,,,dark,tối,Der Keller ist dunkel.,04_home
ruhig,,,quiet,yên tĩnh,Die Straße ist ruhig.,04_home
laut,,,loud,ồn ào,Die Stadt ist laut.,04_home
teuer,,,expensive,đắt,Die Miete ist teuer.,04_home
billig,,,cheap,rẻ,Die Wohnung ist billig.,04_home
sauber,,,clean,sạch sẽ,Die Küche ist sauber.,04_home
schmutzig,,,dirty,bẩn,Das Zimmer ist schmutzig.,04_home
in,,,in,trong,Ich wohne in Berlin.,04_home
auf,,,on,trên,Das Buch liegt auf dem Tisch.,04_home
unter,,,under,dưới,Die Katze ist unter dem Bett.,04_home
neben,,,next to,bên cạnh,Der Stuhl steht neben dem Tisch.,04_home
Brot,das,die Brote,bread,bánh mì,Ich esse Brot zum Frühstück.,05_food
Butter,die,kein Plural,butter,bơ,Ich esse Brot mit Butter.,05_food
Wasser,das,kein Plural,water,nước,Ich trinke Wasser.,05_food
Milch,die,kein Plural,milk,sữa,Ich trinke gern Milch.,05_food
Kaffee,der,die Kaffees,coffee,cà phê,Ich trinke gern Kaffee.,05_food
Tee,der,die Tees,tea,trà,Der Tee ist heiß.,05_food
Saft,der,die Säfte,juice,nước ép,Der Saft ist frisch.,05_food
Bier,das,die Biere,beer,bia,Das Bier ist kalt.,05_food
Wein,der,die Weine,wine,rượu vang,Der Wein ist teuer.,05_food
Apfel,der,die Äpfel,apple,quả táo,Der Apfel ist rot.,05_food
Banane,die,die Bananen,banana,quả chuối,Die Banane ist gelb.,05_food
Ei,das,die Eier,egg,quả trứng,Das Ei ist frisch.,05_food
Fleisch,das,kein Plural,meat,thịt,Ich esse selten Fleisch.,05_food
Käse,der,kein Plural,cheese,phô mai,Der Käse schmeckt gut.,05_food
Fisch,der,die Fische,fish,cá,Der Fisch ist lecker.,05_food
Obst,das,kein Plural,fruit,trái cây,Ich esse gern Obst.,05_food
Gemüse,das,kein Plural,vegetables,rau củ,Das Gemüse ist frisch.,05_food
Kartoffel,die,die Kartoffeln,potato,khoai tây,Die Kartoffel ist billig.,05_food
Tomate,die,die Tomaten,tomato,cà chua,Die Tomate ist rot.,05_food
Reis,der,kein Plural,rice,gạo,Ich esse jeden Tag Reis.,05_food
Brötchen,das,die Brötchen,bread roll,bánh mì nhỏ,Ich kaufe zwei Brötchen.,05_food
Kuchen,der,die Kuchen,cake,bánh ngọt,Der Kuchen ist süß.,05_food
Zucker,der,kein Plural,sugar,đường,Der Kuchen braucht viel Zucker.,05_food
Suppe,die,die Suppen,soup,súp,Die Suppe ist warm.,05_food
Salz,das,kein Plural,salt,muối,Die Suppe braucht Salz.,05_food
Frühstück,das,die Frühstücke,breakfast,bữa sáng,Das Frühstück ist fertig.,05_food
Mittagessen,das,die Mittagessen,lunch,bữa trưa,Das Mittagessen schmeckt gut.,05_food
Abendessen,das,die Abendessen,dinner,bữa tối,Das Abendessen ist bereit.,05_food
Restaurant,das,die Restaurants,restaurant,nhà hàng,Das Restaurant ist voll.,05_food
Geschäft,das,die Geschäfte,shop,cửa hàng,Das Geschäft ist offen.,05_food
Supermarkt,der,die Supermärkte,supermarket,siêu thị,Der Supermarkt ist neu.,05_food
Bäckerei,die,die Bäckereien,bakery,tiệm bánh,Die Bäckerei ist um die Ecke.,05_food
Preis,der,die Preise,price,giá,Der Preis ist hoch.,05_food
Euro,der,die Euro,euro,euro,Das kostet zehn Euro.,05_food
Flasche,die,die Flaschen,bottle,chai,Ich kaufe eine Flasche Wasser.,05_food
Glas,das,die Gläser,glass,ly,Ich trinke ein Glas Wasser.,05_food
Kilo,das,die Kilos,kilogram,ký,Ich kaufe ein Kilo Äpfel.,05_food
essen,,,to eat,ăn,Ich esse gern Obst.,05_food
trinken,,,to drink,uống,Ich trinke Wasser.,05_food
bestellen,,,to order,gọi món,Ich bestelle eine Suppe.,05_food
bezahlen,,,to pay,thanh toán,Ich bezahle an der Kasse.,05_food
kosten,,,to cost,có giá,Das Brot kostet zwei Euro.,05_food
schmecken,,,to taste,có vị,Der Kuchen schmeckt süß.,05_food
probieren,,,to try (food),thử,Ich probiere den Käse.,05_food
lecker,,,delicious,ngon,Das Essen ist lecker.,05_food
süß,,,sweet,ngọt,Der Kuchen ist süß.,05_food
sauer,,,sour,chua,Der Apfel ist sauer.,05_food
salzig,,,salty,mặn,Die Suppe ist salzig.,05_food
frisch,,,fresh,tươi,Das Gemüse ist frisch.,05_food
warm,,,warm,ấm,Die Suppe ist warm.,05_food
kalt,,,cold,lạnh,Das Bier ist kalt.,05_food
hungrig,,,hungry,đói,Ich bin hungrig.,05_food
viel,,,much / a lot,nhiều,Ich habe viel Hunger.,05_food
wenig,,,little / not much,ít,Ich habe wenig Geld.,05_food
mehr,,,more,nhiều hơn,Ich möchte mehr Reis.,05_food
Kopf,der,die Köpfe,head,đầu,Mein Kopf tut weh.,06_health
Auge,das,die Augen,eye,mắt,Meine Augen sind müde.,06_health
Ohr,das,die Ohren,ear,tai,Mein Ohr tut weh.,06_health
Nase,die,die Nasen,nose,mũi,Meine Nase ist rot.,06_health
Mund,der,die Münder,mouth,miệng,Der Mund ist trocken.,06_health
Zahn,der,die Zähne,tooth,răng,Der Zahn tut weh.,06_health
Hals,der,die Hälse,neck / throat,cổ họng,Mein Hals tut weh.,06_health
Arm,der,die Arme,arm,cánh tay,Mein Arm ist verletzt.,06_health
Hand,die,die Hände,hand,bàn tay,Meine Hand ist kalt.,06_health
Bein,das,die Beine,leg,chân,Mein Bein tut weh.,06_health
Fuß,der,die Füße,foot,bàn chân,Mein Fuß tut weh.,06_health
Bauch,der,die Bäuche,stomach / belly,bụng,Mein Bauch tut weh.,06_health
Rücken,der,die Rücken,back,lưng,Mein Rücken tut weh.,06_health
Herz,das,die Herzen,heart,tim,Mein Herz schlägt schnell.,06_health
Arzt,der,die Ärzte,doctor (male),bác sĩ (nam),Der Arzt untersucht mich.,06_health
Ärztin,die,die Ärztinnen,doctor (female),bác sĩ (nữ),Die Ärztin ist sehr nett.,06_health
Krankenhaus,das,die Krankenhäuser,hospital,bệnh viện,Das Krankenhaus ist groß.,06_health
Apotheke,die,die Apotheken,pharmacy,hiệu thuốc,Die Apotheke ist geschlossen.,06_health
Medikament,das,die Medikamente,medicine,thuốc,Ich brauche ein Medikament.,06_health
Tablette,die,die Tabletten,pill / tablet,viên thuốc,Nimm eine Tablette gegen Kopfschmerzen.,06_health
Termin,der,die Termine,appointment,cuộc hẹn,Ich habe einen Termin beim Arzt.,06_health
Schmerz,der,die Schmerzen,pain,cơn đau,Ich habe Schmerzen.,06_health
Fieber,das,kein Plural,fever,sốt,Ich habe Fieber.,06_health
Erkältung,die,die Erkältungen,cold (illness),cảm lạnh,Ich habe eine Erkältung.,06_health
Grippe,die,die Grippen,flu,cúm,Die Grippe ist gefährlich.,06_health
Husten,der,kein Plural,cough,ho,Der Husten ist schlimm.,06_health
Patient,der,die Patienten,patient,bệnh nhân,Der Patient wartet im Zimmer.,06_health
Kopfschmerzen,die,kein Plural,headache,đau đầu,Ich habe Kopfschmerzen.,06_health
Bauchschmerzen,die,kein Plural,stomachache,đau bụng,Ich habe Bauchschmerzen.,06_health
Rezept,das,die Rezepte,prescription,đơn thuốc,Der Arzt schreibt ein Rezept.,06_health
Krankenschwester,die,die Krankenschwestern,nurse,y tá,Die Krankenschwester hilft mir.,06_health
untersuchen,,,to examine,khám,Der Arzt untersucht den Patienten.,06_health
wehtun,,,to hurt,đau,Mein Bauch tut weh.,06_health
nehmen,,,to take,uống thuốc / lấy,Ich nehme eine Tablette.,06_health
brauchen,,,to need,cần,Ich brauche ein Medikament.,06_health
anrufen,,,to call (phone),gọi điện,Ich rufe den Arzt an.,06_health
schlafen,,,to sleep,ngủ,Ich schlafe acht Stunden.,06_health
fühlen,,,to feel,cảm thấy,Ich fühle mich schlecht.,06_health
warten,,,to wait,chờ đợi,Ich warte beim Arzt.,06_health
aufstehen,,,to get up,thức dậy,Ich stehe früh auf.,06_health
krank,,,sick,ốm / bệnh,Ich bin krank.,06_health
gesund,,,healthy,khỏe mạnh,Ich bin wieder gesund.,06_health
müde,,,tired,mệt mỏi,Ich bin sehr müde.,06_health
schlimm,,,bad / severe,tệ / nặng,Der Husten ist schlimm.,06_health
schwach,,,weak,yếu,Ich fühle mich schwach.,06_health
stark,,,strong,mạnh,Der Schmerz ist stark.,06_health
Arbeit,die,die Arbeiten,work / job,công việc,Die Arbeit ist interessant.,07_work
Beruf,der,die Berufe,profession,nghề nghiệp,Mein Beruf ist Lehrer.,07_work
Firma,die,die Firmen,company,công ty,Die Firma ist groß.,07_work
Büro,das,die Büros,office,văn phòng,Das Büro ist modern.,07_work
Chef,der,die Chefs,boss (male),sếp (nam),Der Chef ist streng.,07_work
Chefin,die,die Chefinnen,boss (female),sếp (nữ),Die Chefin ist freundlich.,07_work
Kollege,der,die Kollegen,colleague (male),đồng nghiệp (nam),Mein Kollege ist nett.,07_work
Kollegin,die,die Kolleginnen,colleague (female),đồng nghiệp (nữ),Meine Kollegin hilft mir.,07_work
Lehrer,der,die Lehrer,teacher (male),giáo viên (nam),Der Lehrer erklärt gut.,07_work
Lehrerin,die,die Lehrerinnen,teacher (female),giáo viên (nữ),Die Lehrerin ist geduldig.,07_work
Student,der,die Studenten,student (male),sinh viên (nam),Der Student lernt viel.,07_work
Studentin,die,die Studentinnen,student (female),sinh viên (nữ),Die Studentin ist fleißig.,07_work
Ingenieur,der,die Ingenieure,engineer,kỹ sư,Der Ingenieur baut Brücken.,07_work
Verkäufer,der,die Verkäufer,salesperson (male),người bán hàng (nam),Der Verkäufer ist hilfsbereit.,07_work
Verkäuferin,die,die Verkäuferinnen,salesperson (female),người bán hàng (nữ),Die Verkäuferin lächelt oft.,07_work
Krankenpfleger,der,die Krankenpfleger,male nurse,y tá nam,Der Krankenpfleger arbeitet im Krankenhaus.,07_work
Kellner,der,die Kellner,waiter,bồi bàn (nam),Der Kellner bringt das Essen.,07_work
Kellnerin,die,die Kellnerinnen,waitress,bồi bàn (nữ),Die Kellnerin ist freundlich.,07_work
Fahrer,der,die Fahrer,driver,tài xế,Der Fahrer fährt langsam.,07_work
Sekretärin,die,die Sekretärinnen,secretary,thư ký,Die Sekretärin organisiert alles.,07_work
Gehalt,das,die Gehälter,salary,lương,Das Gehalt ist gut.,07_work
Pause,die,die Pausen,break,giờ nghỉ,Die Pause ist kurz.,07_work
Besprechung,die,die Besprechungen,meeting,cuộc họp,Die Besprechung beginnt um neun.,07_work
Projekt,das,die Projekte,project,dự án,Das Projekt ist wichtig.,07_work
Aufgabe,die,die Aufgaben,task,nhiệm vụ,Die Aufgabe ist einfach.,07_work
Computer,der,die Computer,computer,máy tính,Der Computer ist neu.,07_work
arbeiten,,,to work,làm việc,Ich arbeite im Büro.,07_work
anfangen,,,to begin / start,bắt đầu,Die Arbeit fängt um acht an.,07_work
aufhören,,,to stop / finish,kết thúc,Die Arbeit hört um fünf auf.,07_work
verdienen,,,to earn,kiếm được,Ich verdiene gut.,07_work
telefonieren,,,to phone,gọi điện thoại,Ich telefoniere mit dem Chef.,07_work
organisieren,,,to organize,tổ chức,Sie organisiert das Meeting.,07_work
planen,,,to plan,lên kế hoạch,Wir planen das Projekt.,07_work
beschäftigt,,,busy,bận rộn,Ich bin heute beschäftigt.,07_work
pünktlich,,,punctual / on time,đúng giờ,Er ist immer pünktlich.,07_work
fleißig,,,hardworking,chăm chỉ,Die Studentin ist fleißig.,07_work
freundlich,,,friendly,thân thiện,Die Kollegin ist freundlich.,07_work
wichtig,,,important,quan trọng,Das Projekt ist wichtig.,07_work
einfach,,,easy / simple,đơn giản,Die Aufgabe ist einfach.,07_work
schwierig,,,difficult,khó,Die Arbeit ist schwierig.,07_work
bei,,,at / with,tại,Ich arbeite bei einer Firma.,07_work
für,,,for,cho,Ich arbeite für die Firma.,07_work
Zug,der,die Züge,train,tàu hỏa,Der Zug kommt pünktlich.,08_travel
Bus,der,die Busse,bus,xe buýt,Ich fahre mit dem Bus.,08_travel
Bahnhof,der,die Bahnhöfe,train station,ga tàu,Der Bahnhof ist groß.,08_travel
Flughafen,der,die Flughäfen,airport,sân bay,Der Flughafen ist weit.,08_travel
Flugzeug,das,die Flugzeuge,airplane,máy bay,Das Flugzeug fliegt hoch.,08_travel
Fahrkarte,die,die Fahrkarten,ticket (transport),vé xe,Ich kaufe eine Fahrkarte.,08_travel
Flugticket,das,die Flugtickets,plane ticket,vé máy bay,Das Flugticket ist teuer.,08_travel
Gepäck,das,kein Plural,luggage,hành lý,Mein Gepäck ist schwer.,08_travel
Koffer,der,die Koffer,suitcase,vali,Der Koffer ist voll.,08_travel
Reisepass,der,die Reisepässe,passport,hộ chiếu,Ich brauche einen Reisepass.,08_travel
Abfahrt,die,die Abfahrten,departure,giờ khởi hành,Die Abfahrt ist um acht Uhr.,08_travel
Ankunft,die,die Ankünfte,arrival,giờ đến,Die Ankunft ist verspätet.,08_travel
Gleis,das,die Gleise,platform,sân ga,Der Zug fährt von Gleis drei.,08_travel
Fahrplan,der,die Fahrpläne,timetable,lịch trình,Der Fahrplan hängt an der Wand.,08_travel
Reise,die,die Reisen,journey,chuyến đi,Die Reise war lang.,08_travel
Urlaub,der,die Urlaube,vacation,kỳ nghỉ,Wir fahren in den Urlaub.,08_travel
Ausflug,der,die Ausflüge,excursion,chuyến đi chơi,Der Ausflug war schön.,08_travel
Hotel,das,die Hotels,hotel,khách sạn,Das Hotel ist teuer.,08_travel
Rezeption,die,die Rezeptionen,reception,lễ tân,Die Rezeption ist im Erdgeschoss.,08_travel
Taxi,das,die Taxis,taxi,taxi,Ich nehme ein Taxi.,08_travel
Auto,das,die Autos,car,xe hơi,Das Auto ist neu.,08_travel
Fahrrad,das,die Fahrräder,bicycle,xe đạp,Ich fahre mit dem Fahrrad.,08_travel
Schiff,das,die Schiffe,ship,tàu thủy,Das Schiff fährt langsam.,08_travel
Fähre,die,die Fähren,ferry,phà,Die Fähre fährt über den Fluss.,08_travel
Landkarte,die,die Landkarten,map,bản đồ,Ich brauche eine Landkarte.,08_travel
Grenze,die,die Grenzen,border,biên giới,Wir überqueren die Grenze.,08_travel
Ausland,das,kein Plural,abroad,nước ngoài,Ich reise ins Ausland.,08_travel
Verspätung,die,die Verspätungen,delay,sự chậm trễ,Der Zug hat Verspätung.,08_travel
Sitzplatz,der,die Sitzplätze,seat,chỗ ngồi,Ich habe einen Sitzplatz am Fenster.,08_travel
Kreuzfahrt,die,die Kreuzfahrten,cruise,du lịch bằng tàu,Die Kreuzfahrt dauert eine Woche.,08_travel
Ausweis,der,die Ausweise,ID card,chứng minh thư,Zeig bitte deinen Ausweis.,08_travel
